Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
150835 Vitória do Xingu;19960;22238,28;20319;22317,87;359;79,59
150840 Xinguara;83006;349744,06;89127;371475,54;6121;21731,48
160010 Amapá;18;13;18;13;0;0
160023 Ferreira Gomes;158;-;158;-;0;0
160025 Itaubal;83;-;83;-;0;0
160027 Laranjal do Jari;5892;15437,57;5968;15652,65;76;215,08
160030 Macapá;80235;987,7;80715;987,7;480;0
160015 Pedra Branca do Amapari;703;-;703;-;0;0
160080 Vitória do Jari;2456;5997,76;2645;6504,41;189;506,65
170025 Abreulândia;63;-;63;-;0;0
170040 Almas;16092;16163,08;16369;19195,48;277;3032,4
170070 Alvorada;6540;39360,27;6737;42841,26;197;3480,99
170105 Angico;15;-;15;-;0;0
170130 Aragominas;538;-;538;-;0;0
170190 Araguacema;2463;33,72;2463;33,72;0;0
170200 Araguaçu;5142;30178,2;5142;30178,2;0;0
170210 Araguaína;347572;1533245,43;352370;1565080,73;4798;31835,3
170215 Araguanã;3748;2763,6;3748;2763,6;0;0
170220 Araguatins;21008;92922,45;21008;92922,45;0;0
170230 Arapoema;8871;52143,22;8871;52143,22;0;0
170240 Arraias;3648;17316,73;3648;17316,73;0;0
170255 Augustinópolis;18058;104563,26;18065;104638,08;7;74,82
170290 Axixá do Tocantins;679;-;679;-;0;0
170305 Bandeirantes do Tocantins;635;-;635;-;0;0
170310 Barrolândia;9684;22933,88;9709;23140,35;25;206,47
170320 Bernardo Sayão;2727;-;2727;-;0;0
170380 Buriti do Tocantins;770;2504,7;770;2504,7;0;0
170384 Campos Lindos;268;-;268;-;0;0
170386 Cariri do Tocantins;2848;969,06;2848;969,06;0;0
170388 Carmolândia;890;7500;890;7500;0;0
170389 Carrasco Bonito;63;-;63;-;0;0
170390 Caseara;758;-;758;-;0;0
170460 Chapada de Areia;42;-;42;-;0;0
170550 Colinas do Tocantins;24048;46803,51;24091;47462,91;43;659,4
171670 Colméia;10373;19400,41;14734;44006,92;4361;24606,51
170555 Combinado;258;475,2;258;475,2;0;0
170560 Conceição do Tocantins;1509;7109,64;1509;7109,64;0;0
170600 Couto Magalhães;2199;5221,64;3248;7862,05;1049;2640,41
170610 Cristalândia;5394;17286,3;5446;17611,6;52;325,3
170625 Crixás do Tocantins;1962;-;1962;-;0;0
170700 Dianópolis;6269;34063,62;6429;34987,9;160;924,28
170710 Divinópolis do Tocantins;6573;10931,5;6573;10931,5;0;0
170720 Dois Irmãos do Tocantins;567;1091,19;567;1091,19;0;0
170730 Dueré;5091;13871,14;5424;14726,23;333;855,09
170740 Esperantina;2887;-;2887;-;0;0
170825 Fortaleza do Tabocão;21;-;21;-;0;0
170930 Guaraí;10339;63952,48;10339;63952,48;0;0
170950 Gurupi;30188;408913,07;30188;408913,07;0;0
171070 Itaguatins;1238;2127,79;1238;2127,79;0;0
171090 Itapiratins;126;3615;126;3615;0;0
171150 Jaú do Tocantins;3428;431,72;3461;571,23;33;139,51
171240 Lizarda;4;-;4;-;0;0
171250 Marianópolis do Tocantins;922;3096,52;925;3108,85;3;12,33
171280 Maurilândia do Tocantins;38;-;38;-;0;0
171320 Miracema do Tocantins;11611;51267,22;11611;51267,22;0;0
171330 Miranorte;3025;24151,09;4906;39049,1;1881;14898,01
171360 Monte do Carmo;12292;8017,47;12409;9187,47;117;1170
171370 Monte Santo do Tocantins;1;-;1;-;0;0
171395 Muricilândia;3624;-;3624;-;0;0
171430 Nazaré;1519;6485,4;1524;6502,95;5;17,55
171515 Novo Alegre;625;2365,12;625;2365,12;0;0
172100 Palmas;442478;3949469,32;444209;3963741,65;1731;14272,33
171570 Palmeirante;132;-;132;-;0;0
171575 Palmeirópolis;2081;6349,44;3062;16159,44;981;9810
171610 Paraíso do Tocantins;81685;203670,53;81685;203670,53;0;0
171620 Paranã;11821;21816,74;11821;21816,74;0;0
171650 Pedro Afonso;9231;57355,34;9231;57355,34;0;0
171660 Peixe;9991;39200,23;10014;39285,33;23;85,1
171700 Pindorama do Tocantins;1056;-;1056;-;0;0
171750 Pium;2021;12013,75;2021;12013,75;0;0
