Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
330010 Angra dos Reis;532052;1551307,28;532308;1551996,14;256;688,86
330020 Araruama;1154;10083,92;1154;10083,92;0;0
330022 Areal;18156;82816,91;18159;82846,91;3;30
330023 Armação dos Búzios;20706;152559,89;20712;152562,62;6;2,73
330030 Barra do Piraí;177028;1101982,62;177067;1102137,28;39;154,66
330045 Belford Roxo;458543;4589937,87;491165;4873847,49;32622;283909,62
330050 Bom Jardim;10469;72549,92;10469;72549,92;0;0
330070 Cabo Frio;979564;2906363,11;983082;2909598,77;3518;3235,66
330100 Campos dos Goytacazes;1132331;4520273,38;1140313;4536037,58;7982;15764,2
330110 Cantagalo;16361;87861,74;18625;108377,93;2264;20516,19
330093 Carapebus;43788;124754,98;43788;124754,98;0;0
330140 Conceição de Macabu;12475;52957,85;12475;52957,85;0;0
330150 Cordeiro;21972;156286,15;21972;156286,15;0;0
330170 Duque de Caxias;1699258;7731126,5;1699259;7731145,05;1;18,55
330180 Engenheiro Paulo de Frontin;13665;89393,87;124286;1193340,74;110621;1103946,87
330185 Guapimirim;127955;533098,56;127955;533098,56;0;0
330190 Itaboraí;176331;1666567,46;176372;1666866,76;41;299,3
330200 Itaguaí;60337;306251,8;60337;306251,8;0;0
330220 Itaperuna;209659;2028179,99;210790;2030866,64;1131;2686,65
330227 Japeri;74633;771143,75;74633;771143,75;0;0
330230 Laje do Muriaé;4739;17619,6;4739;17619,6;0;0
330240 Macaé;316616;1843085,7;317099;1845902,38;483;2816,68
330245 Macuco;6000;38361,85;6095;39234,5;95;872,65
330250 Magé;566093;2438427,02;566720;2441238,42;627;2811,4
330260 Mangaratiba;94326;301455,93;94918;306904,24;592;5448,31
330285 Mesquita;682084;1043588,81;818670;1169292,37;136586;125703,56
330290 Miguel Pereira;37742;86915,58;37744;86935,58;2;20
330320 Nilópolis;192585;1139084,27;193882;1150722,39;1297;11638,12
330330 Niterói;499791;5675656,13;517739;5765127,45;17948;89471,32
330350 Nova Iguaçu;1783327;5652841,75;1783906;5646111,08;579;-6730,67
330360 Paracambi;84194;396194,6;84194;396194,6;0;0
330370 Paraíba do Sul;45323;268970,25;45412;269666,55;89;696,3
330385 Paty do Alferes;32344;54476,35;32350;54494,98;6;18,63
330390 Petrópolis;230521;3052586,1;230526;3052707,1;5;121
330395 Pinheiral;51028;179486,24;71700;223020,67;20672;43534,43
330400 Piraí;35461;300664,35;35461;300664,35;0;0
330410 Porciúncula;23008;80671,97;23271;81814,57;263;1142,6
330411 Porto Real;54045;146738,68;55152;148007,63;1107;1268,95
330412 Quatis;15293;57480,61;15293;57480,61;0;0
330414 Queimados;119917;1554468,56;124507;1604560,64;4590;50092,08
330415 Quissamã;72865;176046,23;72866;176052,53;1;6,3
330420 Resende;125919;896442,04;125919;896442,04;0;0
330430 Rio Bonito;83117;1121280,35;83585;1132422,64;468;11142,29
330452 Rio das Ostras;116139;677920,8;117428;682489,1;1289;4568,3
330455 Rio de Janeiro;8795871;40368511,45;9014372;42193001,68;218501;1824490,23
330470 Santo Antônio de Pádua;30158;491411,38;35908;515789,89;5750;24378,51
330480 São Fidélis;45553;188758,08;45859;190508,68;306;1750,6
330475 São Francisco de Itabapoana;65481;189445,24;65481;189445,24;0;0
330490 São Gonçalo;912185;5327168,47;935249;5460935,43;23064;133766,96
330510 São João de Meriti;626048;4099621,41;626415;4068869,82;367;-30751,59
330515 São José do Vale do Rio Preto;18826;116914,89;18828;116918,59;2;3,7
330520 São Pedro da Aldeia;12161;54878,34;12161;54878,34;0;0
330530 São Sebastião do Alto;16166;67348,92;16192;67608,92;26;260
330555 Seropédica;31275;158324,25;31436;158523,89;161;199,64
330575 Tanguá;44658;246823,76;44676;246947,79;18;124,03
330580 Teresópolis;200457;1126268,54;200650;1128523,39;193;2254,85
330600 Três Rios;118205;957084,28;120475;978014,56;2270;20930,28
330610 Valença;125345;788174,45;125346;788219,45;1;45
330615 Varre-Sai;7408;26681,92;7408;26681,92;0;0
330620 Vassouras;50001;805819,75;50001;805819,75;0;0
330630 Volta Redonda;472649;3041116,39;472871;3041701,39;222;585
350010 Adamantina;73644;589602;73644;589602;0;0
350020 Adolfo;9235;2511,24;9235;2511,24;0;0
350030 Aguaí;30756;120393,73;34738;132964,42;3982;12570,69
350040 Águas da Prata;11724;16857,74;11724;16857,74;0;0
350050 Águas de Lindóia;9383;24679,34;11618;41924,58;2235;17245,24
350055 Águas de Santa Bárbara;8110;10293,39;8110;10293,39;0;0
350060 Águas de São Pedro;8384;29975,4;8384;29975,4;0;0
350070 Agudos;37483;167091,62;38406;173190,72;923;6099,1
350075 Alambari;13702;9309,58;13770;10110,67;68;801,09
350080 Alfredo Marcondes;7469;1690,59;7491;1712,59;22;22
350090 Altair;2324;5213,86;2324;5213,86;0;0
350110 Alto Alegre;2441;11783,48;2441;11783,48;0;0
350115 Alumínio;20314;71754,53;20326;71822,09;12;67,56
350120 Álvares Florence;487;3426,55;487;3426,55;0;0
350140 Álvaro de Carvalho;5170;373,97;5170;373,97;0;0
350150 Alvinlândia;8738;8522,47;8738;8522,47;0;0
350160 Americana;145783;948980,99;145783;948980,99;0;0
350170 Américo Brasiliense;21250;261813,58;21250;261813,58;0;0
350190 Amparo;9457;156146,41;9457;156146,41;0;0
350200 Analândia;4119;3450,75;4131;3516,86;12;66,11
350210 Andradina;30780;347671,91;30780;347671,91;0;0
350230 Anhembi;7038;18087,78;7065;18796,18;27;708,4
350240 Anhumas;769;2004,11;769;2004,11;0;0
350250 Aparecida;18023;106936,03;18023;106936,03;0;0
350260 Aparecida d'Oeste;3194;13108,22;3198;13120,52;4;12,3
350270 Apiaí;162869;59178,9;166755;91524,72;3886;32345,82
350280 Araçatuba;991391;3298242,42;1000303;3298580,98;8912;338,56
350290 Araçoiaba da Serra;26016;81960,41;26254;83390,24;238;1429,83
350300 Aramina;5094;8661,52;5094;8661,52;0;0
350310 Arandu;3116;14512,93;53270;340513,93;50154;326001
350315 Arapeí;3703;19542,75;3771;20426,75;68;884
350320 Araraquara;991655;3137827,24;992866;3153586,8;1211;15759,56
350330 Araras;134717;979020,18;134717;979020,18;0;0
350335 Arco-Íris;1700;738,43;1700;738,43;0;0
350350 Areias;6208;22985,5;6278;23164;70;178,5
350370 Ariranha;7335;5591,39;7335;5591,39;0;0
350380 Artur Nogueira;31556;107995,43;32643;113764,35;1087;5768,92
350395 Aspásia;80;-;80;-;0;0
350400 Assis;501125;1271192,62;501125;1271192,62;0;0
350410 Atibaia;110476;951003,75;110476;951003,75;0;0
350420 Auriflama;24401;54880,93;24401;54880,93;0;0
350450 Avaré;123619;785119,82;123675;794751,82;56;9632
350460 Bady Bassitt;23314;70008,19;23314;70008,19;0;0
350480 Bálsamo;2852;-;2852;-;0;0
350490 Bananal;6897;47990,32;6897;47990,32;0;0
350500 Barão de Antonina;1097;11,84;1097;11,84;0;0
350520 Bariri;32350;105119,42;33175;112961,66;825;7842,24
350530 Barra Bonita;14087;47760,12;14354;50000,88;267;2240,76
350535 Barra do Chapéu;134;549,92;134;549,92;0;0
350550 Barretos;818027;9720814,58;818034;9721129,58;7;315
350560 Barrinha;33403;36937,53;33403;36937,53;0;0
350570 Barueri;762656;3624585,66;776748;3624585,66;14092;0
350580 Bastos;17704;67727,75;17713;67817,75;9;90
350590 Batatais;91506;590981,28;91506;590981,28;0;0
350600 Bauru;1314292;6308071,39;1314321;6308868,89;29;797,5
350610 Bebedouro;100561;784268,96;100577;784406,76;16;137,8
350630 Bernardino de Campos;8633;52896,41;8633;52896,41;0;0
350635 Bertioga;85018;424181,26;85018;424181,26;0;0
350660 Biritiba-Mirim;45335;117762,34;46526;123081,59;1191;5319,25
350670 Boa Esperança do Sul;11363;52887,38;11476;53599,28;113;711,9
350680 Bocaina;15546;19101,32;15562;19218,4;16;117,08
350700 Boituva;55799;221473,3;56352;225232,79;553;3759,49
350710 Bom Jesus dos Perdões;29778;47664,3;30026;48598,01;248;933,71
350715 Bom Sucesso de Itararé;255;1056,69;255;1056,69;0;0
350730 Boracéia;6266;6741,24;6266;6741,24;0;0
350740 Borborema;8063;43231,08;9683;45707,88;1620;2476,8
350750 Botucatu;1068576;4513415,13;1068585;4513415,13;9;0
350760 Bragança Paulista;166514;2252601,52;166514;2252601,52;0;0
350770 Braúna;3561;257,4;3561;257,4;0;0
350775 Brejo Alegre;1627;218,4;1627;218,4;0;0
350800 Buri;26411;79876,66;26421;79883,66;10;7
350810 Buritama;44855;387442,19;44888;387655,08;33;212,89
350820 Buritizal;4726;3300,42;4726;3300,42;0;0
350830 Cabrália Paulista;6915;4545,43;7022;5045,12;107;499,69
350860 Cachoeira Paulista;21894;52661,77;28906;98279,58;7012;45617,81
350870 Caconde;21951;55280,06;22691;61753,19;740;6473,13
350880 Cafelândia;17838;124796,92;17841;124802,17;3;5,25
350890 Caiabu;4;-;4;-;0;0
350900 Caieiras;75488;300682,65;75624;303698,33;136;3015,68
350910 Caiuá;21;-;21;-;0;0
350920 Cajamar;89748;482436,35;89830;486840,27;82;4403,92
350940 Cajuru;32844;146183,68;33219;147816,82;375;1633,14
350950 Campinas;3378520;12614383,1;3378542;12615331,96;22;948,86
350960 Campo Limpo Paulista;69106;265063,16;69258;266152,58;152;1089,42
350970 Campos do Jordão;79538;114810,08;81293;129261,56;1755;14451,48
350980 Campos Novos Paulista;1623;118,56;1623;118,56;0;0
351000 Cândido Mota;31412;170933,44;31412;170933,44;0;0
351015 Canitar;4265;6982,17;4265;6982,17;0;0
351020 Capão Bonito;17795;111011,11;18168;111198,95;373;187,84
351030 Capela do Alto;27833;87848,33;28297;90752,63;464;2904,3
351040 Capivari;56107;196749,94;56117;196849,94;10;100
351050 Caraguatatuba;241989;1680095,49;241989;1680095,49;0;0
351060 Carapicuíba;153871;1444467,75;153871;1444467,75;0;0
351070 Cardoso;7721;221199,58;7721;221199,58;0;0
351080 Casa Branca;55689;305747,21;55758;306114,2;69;366,99
351100 Castilho;35149;59094,67;35590;61200,47;441;2105,8
351110 Catanduva;108142;1653986,94;108142;1653986,94;0;0
351120 Catiguá;404;5908,45;404;5908,45;0;0
351130 Cedral;7959;5123,18;7959;5123,18;0;0
351140 Cerqueira César;10464;56941,33;10464;56941,33;0;0
351150 Cerquilho;36930;83720,75;37543;85225,19;613;1504,44
351160 Cesário Lange;19472;64299,99;19545;64750,62;73;450,63
351170 Charqueada;13664;60367,82;13697;60464,78;33;96,96
355720 Chavantes;7404;85321,77;7404;85321,77;0;0
351190 Clementina;5514;31386,82;5514;31386,82;0;0
351210 Colômbia;10766;6405,66;10807;6965,41;41;559,75
351220 Conchal;28738;109780,14;31894;125476,63;3156;15696,49
351250 Coroados;10946;3384,65;10946;3384,65;0;0
351260 Coronel Macedo;900;2462,8;1888;7066,91;988;4604,11
351270 Corumbataí;4780;4719,62;4780;4719,62;0;0
351290 Cosmorama;15142;12407,05;15142;12407,05;0;0
351300 Cotia;223636;1067909,19;223636;1067909,19;0;0
351320 Cristais Paulista;9787;9021,78;10176;12342,73;389;3320,95
351340 Cruzeiro;35560;292201,03;35784;299892,26;224;7691,23
351350 Cubatão;69756;265553,36;69756;265553,36;0;0
351370 Descalvado;47071;112877,06;53537;127127,92;6466;14250,86
351380 Diadema;27287;1131911,04;27295;1132047,93;8;136,89
351385 Dirce Reis;1231;7;1231;7;0;0
351390 Divinolândia;21869;391674,67;21869;391674,67;0;0
351410 Dois Córregos;32203;40614,92;32203;40614,92;0;0
351420 Dolcinópolis;2847;598,82;2847;598,82;0;0
351430 Dourado;18301;41567,75;18301;41567,75;0;0
351440 Dracena;44967;448153,4;44967;448153,4;0;0
351450 Duartina;19304;62329,44;19656;64562,98;352;2233,54
351490 Elias Fausto;15360;71262,07;15361;71273,67;1;11,6
351492 Elisiário;387;459,34;387;459,34;0;0
351495 Embaúba;3177;2503,61;3177;2503,61;0;0
351500 Embu das Artes;173778;797670,33;173778;797670,33;0;0
351510 Embu-Guaçu;75505;37482,63;77827;53940,01;2322;16457,38
351512 Emilianópolis;56;-;56;-;0;0
351518 Espírito Santo do Pinhal;41414;97044,75;41421;97068,94;7;24,19
351520 Estrela d'Oeste;16093;51735,46;16093;51735,46;0;0
351530 Estrela do Norte;1498;3728,4;1498;3728,4;0;0
351535 Euclides da Cunha Paulista;16207;44229;16207;44229;0;0
351550 Fernandópolis;98226;1039436,86;98226;1039436,86;0;0
351570 Ferraz de Vasconcelos;60565;416260,43;60565;416260,43;0;0
351580 Flora Rica;657;-;657;-;0;0
351590 Floreal;1270;1320,76;1270;1320,76;0;0
351600 Flórida Paulista;17080;27915,4;17080;27915,4;0;0
351620 Franca;1052362;4335911,42;1053098;4340551,06;736;4639,64
351630 Francisco Morato;154585;672707,57;154585;672707,57;0;0
351640 Franco da Rocha;345994;1134669,05;345994;1134669,05;0;0
351650 Gabriel Monteiro;12;-;12;-;0;0
351670 Garça;37367;203672,74;37367;203672,74;0;0
351680 Gastão Vidigal;826;-;826;-;0;0
351690 General Salgado;4931;25519,12;4985;25553,14;54;34,02
351720 Guaiçara;10405;10875,49;10425;10926,49;20;51
351730 Guaimbê;2719;18199,68;2719;18199,68;0;0
351740 Guaíra;68111;113580,07;68115;113600,67;4;20,6
351750 Guapiaçu;33291;89687,12;35209;97703,44;1918;8016,32
351760 Guapiara;22385;31161,84;28210;77996,02;5825;46834,18
351780 Guaraçaí;11103;20375,6;11103;20375,6;0;0
351790 Guaraci;27059;64644,06;27059;64644,06;0;0
351800 Guarani d'Oeste;4708;2835;4708;2835;0;0
351820 Guararapes;22907;63118,42;23274;66641,38;367;3522,96
351830 Guararema;40526;168006,95;40579;168006,95;53;0
351840 Guaratinguetá;96495;1090527,23;96691;1091977,18;196;1449,95
351850 Guareí;37551;28904,22;37554;28932,82;3;28,6
351870 Guarujá;184;7634,6;184;7634,6;0;0
351880 Guarulhos;1598913;8390576,44;1599057;8392016,44;144;1440
351890 Guzolândia;2304;464,7;2304;464,7;0;0
351900 Herculândia;14069;100367,12;14070;100367,75;1;0,63
351905 Holambra;5117;12105,45;10137;61480,61;5020;49375,16
351920 Iacri;10961;2312,41;10961;2312,41;0;0
351950 Ibirarema;12169;17048,21;12169;17048,21;0;0
351960 Ibitinga;34577;106217,4;45938;185930,22;11361;79712,82
351970 Ibiúna;163271;790688,35;181823;957967,66;18552;167279,31
351980 Icém;13613;15236,94;13619;15236,94;6;0
351990 Iepê;18744;38559,84;18744;38559,84;0;0
352000 Igaraçu do Tietê;9289;17024,52;9289;17024,52;0;0
352010 Igarapava;29795;73894,18;29820;73930,93;25;36,75
352030 Iguape;26031;82616,58;26053;82616,58;22;0
352042 Ilha Comprida;40905;128296,19;40905;128296,19;0;0
352044 Ilha Solteira;43724;330598,46;44122;332568,56;398;1970,1
352040 Ilhabela;56769;128802,51;69680;175683,42;12911;46880,91
352050 Indaiatuba;506619;1979404,16;506619;1979404,16;0;0
352060 Indiana;49;-;49;-;0;0
352070 Indiaporã;8291;17313,06;8291;17313,06;0;0
352080 Inúbia Paulista;7271;7866,66;7271;7866,66;0;0
352090 Ipaussu;15032;53180,46;15032;53180,46;0;0
352100 Iperó;208632;57933,67;212314;72168,67;3682;14235
352115 Ipiguá;6395;4607,66;6395;4607,66;0;0
352120 Iporanga;3482;3159,34;3482;3159,34;0;0
352150 Irapuã;35291;32611,91;36425;32611,91;1134;0
352160 Irapuru;650;-;650;-;0;0
352170 Itaberá;20803;57714,51;20803;57714,51;0;0
352190 Itajobi;39234;26072,03;39562;27427,23;328;1355,2
352200 Itaju;5943;4267,03;5983;4667,03;40;400
352210 Itanhaém;143228;550016,51;152380;596443,92;9152;46427,41
352215 Itaóca;60;212,06;60;212,06;0;0
352220 Itapecerica da Serra;201262;1476130,33;201262;1476130,33;0;0
352230 Itapetininga;162756;1452946,3;164403;1459914,56;1647;6968,26
352240 Itapeva;129854;1045439,04;166274;1334232,28;36420;288793,24
352250 Itapevi;1687607;1650985,46;1715180;1720468,5;27573;69483,04
352260 Itapira;85089;385682,5;85102;386010,5;13;328
352265 Itapirapuã Paulista;5628;4211,73;5628;4211,73;0;0
352270 Itápolis;31489;125975,23;31519;126201,53;30;226,3
352290 Itapuí;1086;-;1086;-;0;0
352300 Itapura;4398;1252,77;4398;1252,77;0;0
352310 Itaquaquecetuba;30520;281602,03;30520;281602,03;0;0
352340 Itatiba;119636;486956,49;340496;904170,89;220860;417214,4
352360 Itirapina;8863;35201,74;8863;35201,74;0;0
352370 Itirapuã;5952;22790,27;5952;22790,27;0;0
352390 Itu;217763;1947525,35;218057;1951638,65;294;4113,3
352410 Ituverava;81163;841570,65;83858;844426,1;2695;2855,45
352420 Jaborandi;18069;27605,8;18069;27605,8;0;0
352430 Jaboticabal;97289;615390,64;98996;615390,64;1707;0
352440 Jacareí;297182;1976673,62;297607;1995198,9;425;18525,28
352450 Jaci;15181;112660,6;15181;112660,6;0;0
352460 Jacupiranga;17108;69196,44;20111;73662,23;3003;4465,79
352470 Jaguariúna;107896;498677;113555;551950,28;5659;53273,28
352480 Jales;103289;1926774,73;103289;1926774,73;0;0
352510 Jardinópolis;27187;55726,11;27626;58180,98;439;2454,87
352520 Jarinu;41097;148039,53;41097;148039,53;0;0
352530 Jaú;262680;5200433,62;262708;5200713,62;28;280
352540 Jeriquara;3889;4897;3905;5096,52;16;199,52
352550 Joanópolis;14284;46251,78;14887;48260,02;603;2008,24
352570 José Bonifácio;42546;77829,67;42546;77829,67;0;0
352580 Júlio Mesquita;649;385,59;649;385,59;0;0
352585 Jumirim;3541;710,46;3618;926,83;77;216,37
352590 Jundiaí;425234;5009599,22;425238;5009655,87;4;56,65
352600 Junqueirópolis;20310;46470,49;24061;52919,66;3751;6449,17
352620 Juquitiba;28227;26385,03;29608;37160,8;1381;10775,77
352650 Lavínia;1266;-;1266;-;0;0
352670 Leme;145966;735975,68;145970;736015,68;4;40
352690 Limeira;531401;2437090,49;531465;2437730,49;64;640
352700 Lindóia;30204;205939,61;30204;205939,61;0;0
352710 Lins;40809;215870,09;48547;253501,04;7738;37630,95
352720 Lorena;117379;945848,97;117379;945848,97;0;0
352725 Lourdes;3683;495,18;3683;495,18;0;0
352740 Lucélia;25373;74665,26;25373;74665,26;0;0
352780 Lupércio;2518;9215,02;2518;9215,02;0;0
352800 Macatuba;11887;71965,7;11939;72667,11;52;701,41
352810 Macaubal;3314;26989,09;3314;26989,09;0;0
352820 Macedônia;1851;1361,93;1851;1361,93;0;0
352830 Magda;5365;6294,75;5365;6294,75;0;0
352840 Mairinque;59588;178863,89;59601;178953,44;13;89,55
352850 Mairiporã;124159;510592,57;124159;510592,57;0;0
352870 Marabá Paulista;3168;30,75;3168;30,75;0;0
352880 Maracaí;19397;66343,08;19405;66414,76;8;71,68
352885 Marapoama;6302;6050,34;6302;6050,34;0;0
352890 Mariápolis;9400;7389,04;9400;7389,04;0;0
352900 Marília;917292;5100837,18;917292;5100758,43;0;-78,75
352910 Marinópolis;214;846,55;388;1659,13;174;812,58
352930 Matão;24365;538503,33;24365;538503,33;0;0
352940 Mauá;410553;1284780,89;411756;1295654,66;1203;10873,77
352950 Mendonça;14287;11497;14287;11497;0;0
352960 Meridiano;1208;3569,64;1208;3569,64;0;0
352965 Mesópolis;8;-;8;-;0;0
352970 Miguelópolis;18691;43675,59;24668;103081,11;5977;59405,52
353000 Mira Estrela;46551;793,25;46551;793,25;0;0
352990 Miracatu;31532;101703,05;31552;101703,05;20;0
353010 Mirandópolis;19261;131373,86;19261;131373,86;0;0
353020 Mirante do Paranapanema;22880;99779,21;22880;99779,21;0;0
353050 Mococa;67491;293230,08;72686;295738,33;5195;2508,25
353060 Mogi das Cruzes;1045449;4312316,17;1045449;4312316,17;0;0
353070 Mogi Guaçu;145932;1109189,06;146112;1109242,72;180;53,66
353080 Mogi Mirim;89399;848607,62;89399;848607,62;0;0
353090 Mombuca;7313;7801,59;7419;8306,39;106;504,8
353100 Monções;1239;4645,14;1239;4645,14;0;0
353120 Monte Alegre do Sul;8028;4732,36;8028;4732,36;0;0
353130 Monte Alto;86535;305476,22;87622;305476,22;1087;0
353140 Monte Aprazível;30123;63808,19;30174;64070,84;51;262,65
353150 Monte Azul Paulista;22452;100790,47;22452;100790,47;0;0
353160 Monte Castelo;5717;373,6;5717;373,6;0;0
353180 Monte Mor;77470;241531,78;77553;241531,78;83;0
353190 Morro Agudo;66099;155804,43;70610;193395,11;4511;37590,68
353205 Motuca;6359;13150,73;6359;13150,73;0;0
353210 Murutinga do Sul;2568;8643,21;2568;8643,21;0;0
353220 Narandiba;1654;7120,25;1654;7120,25;0;0
353230 Natividade da Serra;7873;4347,66;7873;4347,66;0;0
353240 Nazaré Paulista;24077;61857,32;25873;79022,01;1796;17164,69
353250 Neves Paulista;3353;20883,78;3747;23330,15;394;2446,37
353260 Nhandeara;14152;91022,2;14454;91714,98;302;692,78
353270 Nipoã;15;1,75;15;1,75;0;0
353282 Nova Campina;4955;5879,25;5000;6542,25;45;663
353284 Nova Canaã Paulista;305;1223,54;305;1223,54;0;0
353300 Nova Granada;32604;100398,84;36280;140747,09;3676;40348,25
353320 Nova Independência;1463;53,22;1463;53,22;0;0
353350 Novo Horizonte;35847;109088,78;38997;123650,3;3150;14561,52
353360 Nuporanga;2617;359,87;2620;377;3;17,13
353370 Ocauçu;5326;4019,27;5326;4019,27;0;0
353380 Óleo;1755;7785,76;1758;7798,74;3;12,98
353390 Olímpia;102556;316601,61;102556;316601,61;0;0
353410 Oriente;10454;3325,63;10454;3325,63;0;0
353420 Orindiúva;7328;7273,29;7328;7273,29;0;0
353430 Orlândia;32890;133145,61;32890;133145,61;0;0
353440 Osasco;1105105;2093039,72;1105105;2093039,72;0;0
353460 Osvaldo Cruz;41259;134049,67;41259;134049,67;0;0
353470 Ourinhos;85373;1220318,13;85560;1221650,15;187;1332,02
353480 Ouro Verde;9420;23205,28;9420;23205,28;0;0
353475 Ouroeste;21838;44216,85;25516;54402,05;3678;10185,2
353500 Palestina;3329;9501,1;3329;9501,1;0;0
353510 Palmares Paulista;13933;2776,71;13933;2776,71;0;0
353530 Palmital;39360;104708,74;39360;104708,74;0;0
353540 Panorama;14533;69497,33;14533;69497,33;0;0
353560 Paraibuna;25085;18491,31;25085;18491,31;0;0
353580 Paranapanema;21334;50052,5;26616;74706,69;5282;24654,19
353590 Paranapuã;93;-;93;-;0;0
353600 Parapuã;4372;26392,21;4372;26392,21;0;0
353610 Pardinho;7321;19069,04;7487;20895,04;166;1826
353620 Pariquera-Açu;66587;1381132,27;66587;1381132,27;0;0
353625 Parisi;2435;1498,16;2435;1498,16;0;0
353630 Patrocínio Paulista;7129;44172,87;7129;44172,87;0;0
353640 Paulicéia;2229;4110,75;2229;4110,75;0;0
353670 Pederneiras;27376;152633,42;32663;179283,6;5287;26650,18
353700 Pedregulho;11470;50501,62;11470;50501,62;0;0
353710 Pedreira;21212;123621,11;21212;123621,11;0;0
353715 Pedrinhas Paulista;7230;19072,24;7230;19072,24;0;0
353740 Pereira Barreto;27928;80129,76;27958;80214,66;30;84,9
353750 Pereiras;221;-;221;-;0;0
353760 Peruíbe;186365;436339,23;186428;436849,79;63;510,56
353770 Piacatu;10551;1426,98;10551;1426,98;0;0
353780 Piedade;1057957;115972,36;1058091;116030,36;134;58
353790 Pilar do Sul;13974;81618,08;14641;84732,97;667;3114,89
353800 Pindamonhangaba;239093;1355814,11;239124;1355814,11;31;0
353810 Pindorama;16829;49348,37;16829;49348,37;0;0
353820 Pinhalzinho;22022;68651,53;22022;68651,53;0;0
353830 Piquerobi;2279;260;2279;260;0;0
353850 Piquete;10605;19820,89;10640;20211,18;35;390,29
353870 Piracicaba;1592917;4106909,76;1605161;4155953,05;12244;49043,29
353880 Piraju;17568;107041,56;17797;108613,48;229;1571,92
353890 Pirajuí;17358;49427,63;17609;51235,53;251;1807,9
353900 Pirangi;14835;35247,69;14842;35374,13;7;126,44
353920 Pirapozinho;18202;85564,4;18202;85564,4;0;0
353930 Pirassununga;80417;269740,64;80419;269811,04;2;70,4
353940 Piratininga;13158;21924,55;13158;21924,55;0;0
353950 Pitangueiras;48164;160808,41;48164;160808,41;0;0
353970 Platina;7575;7130,97;8244;10452,96;669;3321,99
353990 Poloni;2752;13058,86;2752;13058,86;0;0
354000 Pompéia;10496;88118,1;10500;88128,9;4;10,8
354010 Pongaí;2903;2077,26;2903;2077,26;0;0
354020 Pontal;143545;106870,38;143545;106870,38;0;0
354025 Pontalinda;6;-;6;-;0;0
354030 Pontes Gestal;530;1204,76;530;1204,76;0;0
354060 Porto Feliz;93552;263342,96;103643;329110,55;10091;65767,59
354070 Porto Ferreira;44409;165940,2;44677;168624,2;268;2684
354075 Potim;9690;40141,52;10822;50583,44;1132;10441,92
354085 Pracinha;7521;6112,15;7792;7920;271;1807,85
354090 Pradópolis;11068;26617,3;11068;26617,3;0;0
354100 Praia Grande;383724;2482280,97;388214;2656950,93;4490;174669,96
354105 Pratânia;6851;19899,86;6851;19899,86;0;0
354110 Presidente Alves;1111;1520;1111;1520;0;0
354120 Presidente Bernardes;4245;21200,44;4245;21200,44;0;0
354130 Presidente Epitácio;56313;134479,41;57254;141637,9;941;7158,49
354140 Presidente Prudente;986182;4829184,25;986182;4829184,25;0;0
354150 Presidente Venceslau;56462;178049,26;56462;178049,26;0;0
354160 Promissão;56239;731467,88;56352;732699,81;113;1231,93
354165 Quadra;1902;12884,52;1918;12950,28;16;65,76
354170 Quatá;22449;29938,06;22449;29938,06;0;0
354180 Queiroz;1808;3412,96;1808;3412,96;0;0
354190 Queluz;11300;51332,79;11485;52349,04;185;1016,25
354200 Quintana;10149;10044,35;10152;10058,36;3;14,01
354220 Rancharia;53483;280898,5;53577;281207,46;94;308,96
354230 Redenção da Serra;7145;7332,64;7145;7332,64;0;0
354240 Regente Feijó;13379;76871,94;13379;76871,94;0;0
354250 Reginópolis;102;-;102;-;0;0
354260 Registro;152500;657171,68;152500;657171,68;0;0
354280 Ribeira;497;-;497;-;0;0
354300 Ribeirão Branco;14327;35684,66;14985;42922,66;658;7238
354310 Ribeirão Corrente;5038;1253,26;5038;1253,26;0;0
354320 Ribeirão do Sul;7639;14124,28;7639;14124,28;0;0
354330 Ribeirão Pires;99378;741668,15;99788;745755,04;410;4086,89
354340 Ribeirão Preto;2336905;14173167,77;2337314;14180423,43;409;7255,66
354360 Rifaina;3680;21232,64;3680;21232,64;0;0
354370 Rincão;14038;7908,61;14038;7908,61;0;0
354380 Rinópolis;13363;18357,77;13363;18357,77;0;0
354390 Rio Claro;234081;1467875,96;241311;1535601,43;7230;67725,47
354400 Rio das Pedras;31323;133759,43;32229;133759,43;906;0
354350 Riversul;44;-;44;-;0;0
354425 Rosana;28319;180748,23;28319;180748,23;0;0
354440 Rubiácea;2559;249;2559;249;0;0
354450 Rubinéia;461;3223,83;461;3223,83;0;0
354470 Sagres;4122;270,55;4122;270,55;0;0
354480 Sales;17659;12475,76;20748;13618,71;3089;1142,95
354500 Salesópolis;10606;61370,76;10919;62720,27;313;1349,51
354515 Saltinho;17908;37013,22;18076;37160,38;168;147,16
354520 Salto;84076;608975,42;84579;608975,42;503;0
354530 Salto de Pirapora;49735;218643,63;51248;221775,9;1513;3132,27
354540 Salto Grande;11646;80486,81;11646;80486,81;0;0
354550 Sandovalina;8554;3709,79;8708;4650,96;154;941,17
354560 Santa Adélia;20575;63178,91;20575;63178,91;0;0
354570 Santa Albertina;7168;7973,65;7198;8045,83;30;72,18
354580 Santa Bárbara d'Oeste;241400;1435179,79;241400;1435179,79;0;0
354600 Santa Branca;12732;67561,27;12732;67561,27;0;0
354610 Santa Clara d'Oeste;578;2480,24;578;2480,24;0;0
